name,g1,g2,g3,market_cap,MAU,funding
stellar,L1,BFT,,1189610637.0,,39000000.0
zilliqa,L1,BFT,,65889161.0,,22000000.0
ripple,L1,BFT,,,,93600000.0
algorand,L1,BFT,,131560139.0,,122400000.0
aion,L1,BFT,,27120677.0,,20000000.0
grain,L1,BFT,,,,11300000.0
maidsafe,L1,BFT,,,,7581191.0
ltonetwork,L1,BFT,,9512641.0,,4080000.0
hyperledgerfabric,L1,BFT,,,,
tendermint,L1,BFT,,,,
iota,L1,DAGs,,671585226.0,,590000.0
holochain,L1,DAGs,,151779401,,
nano,L1,DAGs,,122248881.0,,
hederahashgraph,L1,DAGs,,,,118000000.0
siacoin,L1,DAGs,,76571516.0,,
fantom,L1,DAGs,,34626709.0,,39650000.0
syscoin,L1,DAGs,,14987673.0,,
vite,L1,DAGs,,5584819.0,,28000000.0
byteball,L1,DAGs,,,,
hycon,L1,DAGs,,10100184.0,,22930000.0
dexon,L1,DAGs,,,,3500000.0
radix,L1,DAGs,,,,
ontology,L1,BFT,,503270056.0,,
neo,L1,BFT,,629872110.0,,5050000.0
eos,L1,POS,,3821140616.0,,196870000.0
tron,L1,POS,,1034291653.0,,70000000.0
lisk,L1,POS,,137863542.0,,5750000.0
icon,L1,POS,,101769300.0,,42750000.0
icon,L1,POS,,101769300.0,,42750000.0
steem,L1,POS,,53454866.0,,
bitshares,L1,POS,,93978667.0,,
ark,L1,POS,,33315195.0,,
nebulas,L1,POS,,29223240.0,,60000000.0
aelf,L1,POS,,38947686.0,3956,24750000.0
wax,L1,POS,,39989704.0,,9600000.0
contentos,L1,POS,,27806519.0,,53000000.0
aergo,L1,POS,,8274483.0,,30000000.0
shipchain,L1,POS,,,,30000000.0
tierion,L1,POS,,12629468.0,,26000000.0
newtonproject,L1,POS,,,,35300000.0
iotex,L1,POS,,17225605.0,,14030000.0
dacc,L1,POS,,1128900.0,,13530000.0
lamden,L1,POS,,1677246.0,,10000000.0
achain,L1,POS,,6398232.0,,
horizen,L1,Masternodes,,30201099.0,,
essentia,L1,Masternodes,,664661.0,,25500000.0
nuls,L1,Masternodes,,33004437.0,,
zenprotocol,L1,Masternodes,,2481406.0,,34850000.0
blocknet,L1,Masternodes,,6759736.0,,
stakenet,L1,Masternodes,,5608232.0,,
nix,L1,Masternodes,,5237181.0,,
polis,L1,Masternodes,,,,
beetlecoin,L1,Masternodes,,1893924.0,,
wagerr,L1,Masternodes,,10637255.0,,
nkn,L1,MOCA,,8523067.0,,12600000.0
boscoin,L1,BFT,,3003779.0,,14700000.0
